[System] Using MQTT for communication
[WiFi] Connecting to F7.
[WiFi] Connected!, IP address: 10.82.143.229
[MQTT] Attempting connection...connected
Starting FFT task...Setup complete.
Starting ADC read task...
Starting Filter task...
Starting Communication task...
0,0,718773,718900
2,0,748251,762268
1,0,718813,762945
0,1,729587,762977
[MQTT] Round-trip time: 5.96 ms
3,0,793090,799049
2,1,793093,804274
1,1,763877,806543
0,2,763189,806582
[MQTT] Round-trip time: 5.76 ms
3,1,833087,838850
2,2,833084,844020
1,2,806877,844525
0,3,806667,844556
[MQTT] Round-trip time: 5.62 ms
3,2,874574,880194
2,3,874570,885919
1,3,844877,886524
0,4,844620,888540
[MQTT] Round-trip time: 7.14 ms
3,3,916694,923836
2,4,916702,929760
1,4,886877,932051
0,5,888618,939928
[MQTT] Round-trip time: 6.22 ms
3,4,968028,974248
2,5,968030,979579
1,5,932877,980179
0,6,939999,991336
[MQTT] Round-trip time: 5.34 ms
3,5,1017569,1022911
2,6,1017579,1028802
1,6,980877,1029398
0,7,991410,1042724
[MQTT] Round-trip time: 6.17 ms
3,6,1071422,1077591
2,7,1071418,1082928
1,7,1029877,1083539
0,8,1042798,1094136
[MQTT] Round-trip time: 5.76 ms
3,7,1120225,1125990
2,8,1120221,1131247
1,8,1083877,1131828
0,9,1094210,1145536
[MQTT] Round-trip time: 4.78 ms
3,8,1178457,1183242
2,9,1178465,1190566
1,9,1132877,1191189
0,10,1145614,1196928
[MQTT] Round-trip time: 5.74 ms
3,9,1223170,1228911
2,10,1223166,1234131
1,10,1191877,1236404
0,11,1197006,1248336
[MQTT] Round-trip time: 6.25 ms
3,10,1276192,1282446
2,11,1276188,1287557
1,11,1236877,1288166
0,12,1248415,1299724
[MQTT] Round-trip time: 5.69 ms
3,11,1326094,1331781
2,12,1326091,1339733
1,12,1288877,1340340
0,13,1299806,1351136
[MQTT] Round-trip time: 6.34 ms
3,12,1379415,1385759
2,13,1379417,1390962
1,13,1340877,1391555
0,14,1351215,1402536
2,14,1428892,1441411
1,14,1391877,1442015
0,15,1402618,1453927
[MQTT] Round-trip time: 6.01 ms
3,13,1483319,1489333
2,15,1483315,1494677
1,15,1442877,1497126
0,16,1454114,1505336
[MQTT] Round-trip time: 5.05 ms
3,14,1531468,1536522
2,16,1531465,1544047
1,16,1497877,1544623
0,17,1505415,1556724
[MQTT] Round-trip time: 6.02 ms
3,15,1584953,1590975
2,17,1584956,1598139
1,17,1544877,1598754
0,18,1556802,1608136
[MQTT] Round-trip time: 5.10 ms
3,16,1634266,1639368
2,18,1634262,1646924
1,18,1598877,1647493
0,19,1608215,1659536
[MQTT] Round-trip time: 5.51 ms
3,17,1691401,1696913
2,19,1691409,1704074
1,19,1647877,1704689
0,20,1659620,1710928
[MQTT] Round-trip time: 5.05 ms
3,18,1737016,1742062
2,20,1737012,1748349
1,20,1704877,1750644
0,21,1711006,1762336
[MQTT] Round-trip time: 6.48 ms
3,19,1790750,1797232
2,21,1790763,1803873
1,21,1751877,1804474
0,22,1762415,1813724
[MQTT] Round-trip time: 5.03 ms
3,20,1841951,1846984
2,22,1841947,1852769
1,22,1804877,1853364
0,23,1813802,1865136
[MQTT] Round-trip time: 5.97 ms
3,21,1892835,1898810
2,23,1892844,1905964
1,23,1853877,1906584
0,24,1865219,1916536
[MQTT] Round-trip time: 4.53 ms
3,22,1945599,1950133
2,24,1945615,1956797
1,24,1906877,1957340
0,25,1916618,1967928
[MQTT] Round-trip time: 5.55 ms
3,23,1996153,2001700
2,25,1996155,2007615
1,25,1957877,2008247
0,26,1968006,2019336
[MQTT] Round-trip time: 5.16 ms
3,24,2045630,2050793
2,26,2045639,2057428
1,26,2008877,2058027
0,27,2019418,2070724
[MQTT] Round-trip time: 5.51 ms
3,25,2098328,2103841
2,27,2098324,2110409
1,27,2058877,2111039
0,28,2070806,2122136
[MQTT] Round-trip time: 5.17 ms
3,26,2148425,2153598
2,28,2148421,2159412
1,28,2111877,2159997
0,29,2122218,2173536
[MQTT] Round-trip time: 5.78 ms
3,27,2204694,2210472
2,29,2204710,2215953
1,29,2160877,2218382
0,30,2173619,2224928
[MQTT] Round-trip time: 5.14 ms
3,28,2251097,2256235
2,30,2251094,2262945
1,30,2218877,2263502
0,31,2225006,2276336
[MQTT] Round-trip time: 5.49 ms
3,29,2304198,2309688
2,31,2304194,2317326
1,31,2263877,2317951
0,32,2276419,2327724
[MQTT] Round-trip time: 5.11 ms
3,30,2353708,2358822
2,32,2353717,2365534
1,32,2318877,2366053
0,33,2327802,2379136
[MQTT] Round-trip time: 5.56 ms
3,31,2407402,2412965
2,33,2407405,2418915
1,33,2366877,2421327
0,34,2379219,2430536
[MQTT] Round-trip time: 4.49 ms
3,32,2456824,2461319
2,34,2456841,2467082
1,34,2421877,2467622
0,35,2430618,2481928
[MQTT] Round-trip time: 5.56 ms
3,33,2509751,2515311
2,35,2509760,2522896
1,35,2467877,2523513
0,36,2482006,2533336
[MQTT] Round-trip time: 5.05 ms
3,34,2559573,2564624
2,36,2559562,2572167
1,36,2523877,2572726
0,37,2533415,2584724
[MQTT] Round-trip time: 6.09 ms
3,35,2613003,2619090
2,37,2613005,2624518
1,37,2572877,2625135
0,38,2584802,2636136
[MQTT] Round-trip time: 5.06 ms
3,36,2662245,2667305
2,38,2662242,2674771
1,38,2625877,2675360
0,39,2636218,2687536
[MQTT] Round-trip time: 5.81 ms
3,37,2715347,2721154
2,39,2715347,2726582
1,39,2675877,2727202
0,40,2687618,2738928
[MQTT] Round-trip time: 5.09 ms
3,38,2765139,2770228
2,40,2765135,2776019
1,40,2727877,2776595
0,41,2739002,2790336
[MQTT] Round-trip time: 6.40 ms
3,39,2818501,2824905
2,41,2818503,2832103
1,41,2776877,2832726
0,42,2790419,2841724
[MQTT] Round-trip time: 5.15 ms
3,40,2868118,2873270
2,42,2868114,2880731
1,42,2832877,2881320
0,43,2841806,2893136
[MQTT] Round-trip time: 6.18 ms
3,41,2921068,2927248
2,43,2921064,2932676
1,43,2881877,2933287
0,44,2893215,2944536
[MQTT] Round-trip time: 5.16 ms
3,42,2970686,2975841
2,44,2970695,2981632
1,44,2935877,2982187
0,45,2944618,2995928
[MQTT] Round-trip time: 5.82 ms
3,43,3023917,3029734
2,45,3023920,3035770
1,45,2982877,3036400
0,46,2996006,3047336
[MQTT] Round-trip time: 5.19 ms
3,44,3073983,3079170
2,46,3073979,3086679
1,46,3036877,3087271
0,47,3047418,3098724
[MQTT] Round-trip time: 6.08 ms
3,45,3126727,3132811
2,47,3126736,3138174
1,47,3087877,3140616
0,48,3098802,3150136
[MQTT] Round-trip time: 5.16 ms
3,46,3176259,3181414
2,48,3176255,3187382
1,48,3140877,3187926
0,49,3150215,3201536
[MQTT] Round-trip time: 6.04 ms
3,47,3229583,3235626
2,49,3229579,3241044
1,49,3188877,3241663
0,50,3201618,3252928
[MQTT] Round-trip time: 5.13 ms
3,48,3278978,3284110
2,50,3278975,3290790
1,50,3241877,3291376
0,51,3253002,3304336
[MQTT] Round-trip time: 5.98 ms
3,49,3332080,3338064
2,51,3332077,3343501
1,51,3291869,3344139
0,52,3304418,3355774
[MQTT] Round-trip time: 5.12 ms
3,50,3381828,3386951
2,52,3381836,3392701
1,52,3344877,3393287
0,53,3355856,3407186
[MQTT] Round-trip time: 4.94 ms
3,51,3438590,3443529
2,53,3438607,3449010
1,53,3393877,3449625
0,54,3407269,3458593
[MQTT] Round-trip time: 5.07 ms
3,52,3484944,3490018
2,54,3484941,3497447
1,54,3449877,3498039
0,55,3458674,3509986
[MQTT] Round-trip time: 6.00 ms
3,53,3537806,3543807
2,55,3537814,3549186
1,55,3498877,3549782
0,56,3510065,3561386
[MQTT] Round-trip time: 5.10 ms
3,54,3587462,3592566
2,56,3587458,3599980
1,56,3549883,3600561
0,57,3561468,3612774
[MQTT] Round-trip time: 5.99 ms
3,55,3640745,3646730
2,57,3640758,3652127
1,57,3600877,3652726
0,58,3612852,3664186
[MQTT] Round-trip time: 4.49 ms
3,56,3693334,3697828
2,58,3693343,3705235
1,58,3652877,3705818
0,59,3664268,3715593
[MQTT] Round-trip time: 6.16 ms
3,57,3743373,3749538
2,59,3743369,3756487
1,59,3706877,3757104
0,60,3715671,3766986
[MQTT] Round-trip time: 5.65 ms
3,58,3792942,3798590
2,60,3792939,3803758
1,60,3757877,3804264
0,61,3767065,3818388
[MQTT] Round-trip time: 7.24 ms
3,59,3846455,3853696
2,61,3846451,3859539
1,61,3804877,3860170
0,62,3818461,3869774
[MQTT] Round-trip time: 5.09 ms
3,60,3896026,3901117
2,62,3896022,3906873
1,62,3860877,3907446
0,63,3869856,3921186
[MQTT] Round-trip time: 4.66 ms
3,61,3951837,3956492
2,63,3951854,3963191
1,63,3907877,3963813
0,64,3921269,3972593
[MQTT] Round-trip time: 5.15 ms
3,62,3998658,4003806
2,64,3998667,4010384
1,64,3964877,4010975
0,65,3972674,4023986
[MQTT] Round-trip time: 5.96 ms
3,63,4051398,4057362
2,65,4051395,4062809
1,65,4011877,4063440
